Temperature,Range Loss
2.5,-24.8793855
2.6,-24.7017253
2.7,-24.5238801
2.8,-24.3458561
2.9,-24.1676598
3,-23.9892978
3.1,-23.8107765
3.2,-23.6321027
3.3,-23.4532833
3.4,-23.2743251
3.5,-23.0952351
3.6,-22.9160205
3.7,-22.7366884
3.8,-22.5572462
3.9,-22.3777013
4,-22.1980612
4.1,-22.0183335
4.2,-21.838526
4.3,-21.6586465
4.4,-21.478703
4.5,-21.2987034
4.6,-21.118656
4.7,-20.938569
4.8,-20.7584509
4.9,-20.5783099
5,-20.3981549
5.1,-20.2179944
5.2,-20.0378372
5.3,-19.8576923
5.4,-19.6775688
5.5,-19.4974757
5.6,-19.3174222
5.7,-19.1374178
5.8,-18.957472
5.9,-18.7775941
6,-18.5977942
6.1,-18.4180818
6.2,-18.2384669
6.3,-18.0589595
6.4,-17.8795698
6.5,-17.700308
6.6,-17.5211844
6.7,-17.3422097
6.8,-17.1633943
6.9,-16.984749
7,-16.8062845
7.1,-16.6280118
7.2,-16.4499419
7.3,-16.272086
7.4,-16.0944553
7.5,-15.9170611
7.6,-15.7399151
7.7,-15.5630287
7.8,-15.3864136
7.9,-15.2100817
8,-15.034045
8.1,-14.8583153
8.2,-14.6829049
8.3,-14.507826
8.4,-14.3330909
8.5,-14.1587122
8.6,-13.9847024
8.7,-13.8110741
8.8,-13.6378401
8.9,-13.4650134
9,-13.2926069
9.1,-13.1206337
9.2,-12.9491069
9.3,-12.7780399
9.4,-12.6074461
9.5,-12.437339
9.6,-12.267732
9.7,-12.0986391
9.8,-11.9300737
9.9,-11.7620501
10,-11.5945819
10.1,-11.4276834
10.2,-11.2613686
10.3,-11.0956519
10.4,-10.9305475
10.5,-10.7660698
10.6,-10.6022334
10.7,-10.4390528
10.8,-10.2765428
10.9,-10.114718
11,-9.9535933
11.1,-9.7931836
11.2,-9.6335039
11.3,-9.4745691
11.4,-9.3163946
11.5,-9.1589954
11.6,-9.0023868
11.7,-8.8465841
11.8,-8.6916029
11.9,-8.5374583
12,-8.3841661
12.1,-8.2317416
12.2,-8.0802008
12.3,-7.929559
12.4,-7.7798322
12.5,-7.631036
12.6,-7.4831864
12.7,-7.3362991
12.8,-7.19039
12.9,-7.0454751
13,-6.9015705
13.1,-6.758692
13.2,-6.6168556
13.3,-6.4760777
13.4,-6.336374
13.5,-6.1977608
13.6,-6.0602543
13.7,-5.9238705
13.8,-5.7886256
13.9,-5.6545358
14,-5.5216171
14.1,-5.3898859
14.2,-5.2593582
14.3,-5.1300502
14.4,-5.0019782
14.5,-4.8751581
14.6,-4.7496062
14.7,-4.6253386
14.8,-4.5023714
14.9,-4.3807205
15,-4.2604021
15.1,-4.1414322
15.2,-4.0238268
15.3,-3.9076017
15.4,-3.7927729
15.5,-3.6793562
15.6,-3.5673674
15.7,-3.4568222
15.8,-3.3477364
15.9,-3.2401255
16,-3.1340051
16.1,-3.0293906
16.2,-2.9262975
16.3,-2.8247412
16.4,-2.7247368
16.5,-2.6262996
16.6,-2.5294445
16.7,-2.4341866
16.8,-2.3405409
16.9,-2.248522
17,-2.1581446
17.1,-2.0694233
17.2,-1.9823726
17.3,-1.8970068
17.4,-1.8133401
17.5,-1.7313866
17.6,-1.6511604
17.7,-1.572675
17.8,-1.4959444
17.9,-1.420982
18,-1.3478013
18.1,-1.2764155
18.2,-1.2068376
18.3,-1.1390807
18.4,-1.0731574
18.5,-1.0090805
18.6,-0.9468623
18.7,-0.8865151
18.8,-0.8280511
18.9,-0.7714821
19,-0.7168198
19.1,-0.6640758
19.2,-0.6132613
19.3,-0.5643877
19.4,-0.5174658
19.5,-0.4725062
19.6,-0.4295197
19.7,-0.3885164
19.8,-0.3495064
19.9,-0.3124998
20,-0.277506
20.1,-0.2445346
20.2,-0.2135948
20.3,-0.1846954
20.4,-0.1578455
20.5,-0.1330531
20.6,-0.1103268
20.7,-0.0896746
20.8,-0.0711042
20.9,-0.054623
21,-0.0402385
21.1,-0.0279575
21.2,-0.0177868
21.3,-0.009733
21.4,-0.003802
21.5,0
21.6,0
21.7,0
21.8,-0.0014231
21.9,-0.0061909
22,-0.0131133
22.1,-0.0221946
22.2,-0.0334387
22.3,-0.0468494
22.4,-0.0624303
22.5,-0.0801843
22.6,-0.1001143
22.7,-0.122223
22.8,-0.1465126
22.9,-0.172985
23,-0.2016421
23.1,-0.2324851
23.2,-0.2655152
23.3,-0.3007332
23.4,-0.3381395
23.5,-0.3777344
23.6,-0.4195176
23.7,-0.4634891
23.8,-0.5096478
23.9,-0.5579929
24,-0.6085229
24.1,-0.6612365
24.2,-0.7161315
24.3,-0.7732058
24.4,-0.832457
24.5,-0.8938821
24.6,-0.957478
24.7,-1.0232413
24.8,-1.0911685
24.9,-1.1612553
25,-1.2334975
25.1,-1.3078904
25.2,-1.3844293
25.3,-1.4631089
25.4,-1.5439235
25.5,-1.6268676
25.6,-1.711935
25.7,-1.7991193
25.8,-1.8884139
25.9,-1.9798119
26,-2.0733059
26.1,-2.1688886
26.2,-2.2665521
26.3,-2.3662884
26.4,-2.468089
26.5,-2.5719454
26.6,-2.6778488
26.7,-2.7857898
26.8,-2.8957593
26.9,-3.0077473
27,-3.1217441
27.1,-3.2377393
27.2,-3.3557224
27.3,-3.4756829
27.4,-3.5976099
27.5,-3.7214918
27.6,-3.8473175
27.7,-3.9750751
27.8,-4.1047528
27.9,-4.2363385
28,-4.3698196
28.1,-4.5051836
28.2,-4.6424176
28.3,-4.7815087
28.4,-4.9224435
28.5,-5.0652086
28.6,-5.2097901
28.7,-5.3561744
28.8,-5.5043473
28.9,-5.6542945
29,-5.8060014
29.1,-5.9594534
29.2,-6.1146358
29.3,-6.2715335
29.4,-6.4301311
29.5,-6.5904135
29.6,-6.752365
29.7,-6.91597
29.8,-7.0812126
29.9,-7.2480768
30,-7.4165463
30.1,-7.5866049
30.2,-7.7582363
30.3,-7.9314237
30.4,-8.1061505
30.5,-8.2823997
30.6,-8.4601545
30.7,-8.6393979
30.8,-8.8201125
30.9,-9.002281
31,-9.1858862
31.1,-9.3709105
31.2,-9.5573361
31.3,-9.7451456
31.4,-9.934321
31.5,-10.1248446
31.6,-10.3166984
31.7,-10.5098644
31.8,-10.7043244
31.9,-10.9000604
32,-11.0970542
32.1,-11.2952874
32.2,-11.4947418
32.3,-11.695399
32.4,-11.8972407
32.5,-12.1002483
32.6,-12.3044033
32.7,-12.5096875
32.8,-12.7160821
32.9,-12.9235686
33,-13.1321284
33.1,-13.341743
33.2,-13.5523939
33.3,-13.7640623
33.4,-13.9767298
33.5,-14.1903776
33.6,-14.4049872
33.7,-14.6205402
33.8,-14.8370178
33.9,-15.0544015
34,-15.2726729
34.1,-15.4918135
34.2,-15.7118047
34.3,-15.9326281
34.4,-16.1542655
34.5,-16.3766983
34.6,-16.5999083
34.7,-16.8238772
34.8,-17.0485869
34.9,-17.2740191
35,-17.5001558
35.1,-17.7269788
35.2,-17.9544703
35.3,-18.1826122
35.4,-18.4113868
35.5,-18.6407763
35.6,-18.870763
35.7,-19.1013292
35.8,-19.3324574
35.9,-19.5641302
36,-19.7963301
36.1,-20.0290399
36.2,-20.2622424
36.3,-20.4959204
36.4,-20.730057
36.5,-20.9646353
36.6,-21.1996384
36.7,-21.4350497
36.8,-21.6708524
36.9,-21.9070301
37,-22.1435666
37.1,-22.3804453
37.2,-22.6176502
37.3,-22.8551652
37.4,-23.0929744
37.5,-23.3310619
37.6,-23.5694121
37.7,-23.8080093
37.8,-24.0468382
37.9,-24.2858833
38,-24.5251294
38.1,-24.7645615
38.2,-25.0041647
38.3,-25.243924
38.4,-25.4838248
38.5,-25.7238524
38.6,-25.9639926
38.7,-26.2042309
38.8,-26.4445532
38.9,-26.6849456
39,-26.9253939
39.1,-27.1658847
39.2,-27.4064041
39.3,-27.6469388
39.4,-27.8874753
39.5,-28.1280005
39.6,-28.3685013
39.7,-28.6089649
39.8,-28.8493783
39.9,-29.0897291
40,-29.3300046
40.1,-29.5701926
40.2,-29.8102809
40.3,-30.0502573
40.4,-30.2901099
40.5,-30.5298271
40.6,-30.7693971
40.7,-31.0088085
40.8,-31.2480499
40.9,-31.4871101
41,-31.7259781
41.1,-31.9646429
41.2,-32.2030938
41.3,-32.4413202
41.4,-32.6793115
41.5,-32.9170576
41.6,-33.154548
41.7,-33.3917729
41.8,-33.6287222
41.9,-33.8653863
42,-34.1017555
42.1,-34.3378204
42.2,-34.5735715
42.3,-34.8089997
42.4,-35.0440959
42.5,-35.2788513
42.6,-35.513257
42.7,-35.7473043
42.8,-35.9809849
