Temperature,Tesla Factors,Not Tesla Factors
3.3,0.834749095,0.765467167
3.4,0.836154725,0.767256749
3.5,0.837559615,0.769047649
3.6,0.838963706,0.770839795
3.7,0.840366935,0.772633116
3.8,0.841769244,0.774427538
3.9,0.843170569,0.776222987
4.0,0.844570849,0.778019388
4.1,0.845970021,0.779816665
4.2,0.847368022,0.78161474
4.3,0.848764789,0.783413535
4.4,0.850160256,0.78521297
4.5,0.851554359,0.787012966
4.6,0.852947033,0.78881344
4.7,0.854338211,0.79061431
4.8,0.855727827,0.792415491
4.9,0.857115813,0.794216901
5.0,0.858502102,0.796018451
5.1,0.859886626,0.797820056
5.2,0.861269316,0.799621628
5.3,0.862650102,0.801423077
5.4,0.864028915,0.803224312
5.5,0.865405683,0.805025243
5.6,0.866780336,0.806825778
5.7,0.868152803,0.808625822
5.8,0.86952301,0.81042528
5.9,0.870890886,0.812224059
6.0,0.872256357,0.814022058
6.1,0.87361935,0.815819182
6.2,0.874979789,0.817615331
6.3,0.8763376,0.819410405
6.4,0.877692708,0.821204302
6.5,0.879045037,0.82299692
6.6,0.88039451,0.824788156
6.7,0.88174105,0.826577903
6.8,0.88308458,0.828366057
6.9,0.884425022,0.83015251
7.0,0.885762296,0.831937155
7.1,0.887096325,0.833719882
7.2,0.888427028,0.835500581
7.3,0.889754325,0.83727914
7.4,0.891078136,0.839055447
7.5,0.89239838,0.840829389
7.6,0.893714975,0.842600849
7.7,0.895027838,0.844369713
7.8,0.896336888,0.846135864
7.9,0.897642042,0.847899183
8.0,0.898943215,0.84965955
8.1,0.900240324,0.851416847
8.2,0.901533284,0.853170951
8.3,0.902822011,0.85492174
8.4,0.904106419,0.856669091
8.5,0.905386422,0.858412878
8.6,0.906661934,0.860152976
8.7,0.907932869,0.861889259
8.8,0.909199139,0.863621599
8.9,0.910460656,0.865349866
9.0,0.911717334,0.867073931
9.1,0.912969082,0.868793663
9.2,0.914215814,0.870508931
9.3,0.915457439,0.872219601
9.4,0.916693868,0.873925539
9.5,0.917925011,0.87562661
9.6,0.919150777,0.87732268
9.7,0.920371077,0.879013609
9.8,0.921585819,0.880699263
9.9,0.922794912,0.882379499
10.0,0.923998264,0.884054181
10.1,0.925195783,0.885723166
10.2,0.926387376,0.887386314
