Temperature,Not Tesla Factors - 10th,Not Tesla Factors - overall,Not Tesla Factors - 90th,Tesla Factors - 10th,Tesla Factors - overall,Tesla Factors - 90th
-8.3,0.384390857,0.579000365,0.750107675,0.46357779,0.67851718,0.836786592
-8.2,0.385093769,0.580371876,0.751911948,0.464053305,0.679737444,0.838497768
-8.1,0.385798567,0.581747893,0.753721874,0.464530248,0.680960658,0.840212642
-8.0,0.386505268,0.583128415,0.755537451,0.465008649,0.682186812,0.841931204
-7.9,0.387213889,0.584513443,0.75735868,0.465488541,0.683415894,0.843653439
-7.8,0.387924446,0.585902975,0.759185558,0.465969954,0.684647893,0.845379335
-7.7,0.388636957,0.587297012,0.761018085,0.466452921,0.685882797,0.847108879
-7.6,0.389351438,0.588695553,0.76285626,0.466937471,0.687120595,0.848842056
-7.5,0.390067907,0.590098596,0.76470008,0.467423637,0.688361276,0.850578852
-7.4,0.390786379,0.59150614,0.766549543,0.467911449,0.689604825,0.852319254
-7.3,0.391506872,0.592918183,0.768404647,0.468400938,0.690851233,0.854063246
-7.2,0.392229403,0.594334723,0.770265388,0.468892134,0.692100484,0.855810812
-7.1,0.392953987,0.595755759,0.772131763,0.469385069,0.693352567,0.857561938
-7.0,0.393680643,0.597181286,0.774003768,0.469879772,0.694607468,0.859316607
-6.9,0.394409386,0.598611303,0.7758814,0.470376274,0.695865173,0.861074802
-6.8,0.395140234,0.600045807,0.777764653,0.470874604,0.697125669,0.862836508
-6.7,0.395873202,0.601484792,0.779653523,0.471374793,0.698388941,0.864601707
-6.6,0.396608308,0.602928257,0.781548005,0.47187687,0.699654975,0.866370382
-6.5,0.397345568,0.604376196,0.783448092,0.472380865,0.700923756,0.868142513
-6.4,0.398084999,0.605828605,0.785353779,0.472886808,0.70219527,0.869918084
-6.3,0.398826617,0.607285479,0.787265059,0.473394727,0.7034695,0.871697076
-6.2,0.399570438,0.608746813,0.789181925,0.473904652,0.704746431,0.873479469
-6.1,0.40031648,0.610212601,0.791104369,0.474416613,0.706026047,0.875265243
-6.0,0.401064759,0.611682838,0.793032385,0.474930636,0.707308332,0.877054379
-5.9,0.401815291,0.613157516,0.794965963,0.475446753,0.70859327,0.878846857
-5.8,0.402568092,0.614636631,0.796905095,0.47596499,0.709880842,0.880642655
-5.7,0.403323178,0.616120174,0.798849771,0.476485377,0.711171033,0.882441752
-5.6,0.404080567,0.617608138,0.800799983,0.477007941,0.712463825,0.884244127
-5.5,0.404840274,0.619100515,0.802755719,0.477532711,0.713759199,0.886049757
-5.4,0.405602314,0.620597297,0.80471697,0.478059714,0.715057139,0.88785862
-5.3,0.406366706,0.622098477,0.806683723,0.478588978,0.716357624,0.889670692
-5.2,0.407133464,0.623604043,0.808655969,0.479120532,0.717660637,0.891485951
-5.1,0.407902604,0.625113988,0.810633694,0.479654401,0.718966157,0.893304373
-5.0,0.408674142,0.626628302,0.812616886,0.480190613,0.720274167,0.895125932
-4.9,0.409448095,0.628146975,0.814605531,0.480729196,0.721584645,0.896950604
-4.8,0.410224477,0.629669995,0.816599617,0.481270176,0.722897572,0.898778364
-4.7,0.411003306,0.631197351,0.81859913,0.481813579,0.724212927,0.900609186
-4.6,0.411784595,0.632729033,0.820604053,0.482359433,0.725530689,0.902443044
-4.5,0.412568362,0.634265029,0.822614373,0.482907763,0.726850837,0.90427991
-4.4,0.413354621,0.635805326,0.824630074,0.483458596,0.728173349,0.906119758
-4.3,0.414143388,0.637349911,0.826651139,0.484011958,0.729498204,0.907962559
-4.2,0.414934679,0.638898771,0.828677551,0.484567874,0.730825378,0.909808286
-4.1,0.415728508,0.640451892,0.830709293,0.48512637,0.73215485,0.91165691
-4.0,0.416524891,0.642009261,0.832746347,0.485687471,0.733486596,0.9135084
-3.9,0.417323842,0.643570861,0.834788694,0.486251202,0.734820593,0.915362729
-3.8,0.418125378,0.645136679,0.836836316,0.486817589,0.736156817,0.917219865
-3.7,0.418929512,0.646706699,0.838889192,0.487386656,0.737495244,0.919079777
-3.6,0.41973626,0.648280904,0.840947302,0.487958428,0.738835848,0.920942434
-3.5,0.420545636,0.649859278,0.843010625,0.488532928,0.740178606,0.922807804
-3.4,0.421357655,0.651441804,0.845079139,0.489110182,0.741523492,0.924675855
-3.3,0.422172332,0.653028463,0.847152822,0.489690213,0.742870479,0.926546554
-3.2,0.42298968,0.654619239,0.849231652,0.490273045,0.744219543,0.928419867
-3.1,0.423809714,0.656214111,0.851315604,0.490858702,0.745570656,0.93029576
-3.0,0.424632449,0.657813061,0.853404654,0.491447206,0.746923791,0.932174198
-2.9,0.425457898,0.659416069,0.855498778,0.49203858,0.748278921,0.934055147
-2.8,0.426286076,0.661023114,0.85759795,0.492632849,0.749636018,0.93593857
-2.7,0.427116995,0.662634176,0.859702144,0.493230034,0.750995055,0.937824432
-2.6,0.427950671,0.664249233,0.861811333,0.493830157,0.752356001,0.939712695
-2.5,0.428787115,0.665868264,0.863925489,0.494433241,0.753718829,0.941603321
-2.4,0.429626342,0.667491244,0.866044584,0.495039309,0.755083509,0.943496274
-2.3,0.430468366,0.669118151,0.868168589,0.49564838,0.756450011,0.945391513
-2.2,0.431313198,0.670748962,0.870297475,0.496260478,0.757818304,0.947289001
-2.1,0.432160852,0.672383651,0.87243121,0.496875623,0.759188358,0.949188696
-2.0,0.433011341,0.674022194,0.874569763,0.497493837,0.760560143,0.951090559
-1.9,0.433864678,0.675664566,0.876713103,0.498115139,0.761933625,0.952994549
-1.8,0.434720875,0.677310739,0.878861197,0.498739551,0.763308773,0.954900624
-1.7,0.435579944,0.678960687,0.881014012,0.499367093,0.764685555,0.956808741
-1.6,0.436441897,0.680614382,0.883171513,0.499997784,0.766063937,0.958718858
-1.5,0.437306747,0.682271796,0.885333664,0.500631645,0.767443887,0.960630931
-1.4,0.438174505,0.683932901,0.887500431,0.501268694,0.768825369,0.962544916
-1.3,0.439045184,0.685597665,0.889671777,0.501908952,0.770208351,0.964460769
-1.2,0.439918793,0.687266061,0.891847665,0.502552437,0.771592797,0.966378443
-1.1,0.440795345,0.688938056,0.894028055,0.503199167,0.772978672,0.968297893
-1.0,0.441674851,0.690613619,0.896212909,0.503849161,0.77436594,0.970219073
-0.9,0.442557322,0.692292718,0.898402187,0.504502437,0.775754565,0.972141934
-0.8,0.443442768,0.69397532,0.900595849,0.505159013,0.77714451,0.974066429
-0.7,0.444331199,0.695661391,0.902793853,0.505818906,0.778535739,0.975992509
-0.6,0.445222627,0.697350896,0.904996156,0.506482133,0.779928213,0.977920125
-0.5,0.44611706,0.699043802,0.907202715,0.507148712,0.781321895,0.979849227
-0.4,0.447014509,0.700740071,0.909413486,0.507818658,0.782716746,0.981779763
-0.3,0.447914984,0.702439668,0.911628424,0.508491989,0.784112726,0.983711684
-0.2,0.448818493,0.704142555,0.913847483,0.50916872,0.785509797,0.985644936
-0.1,0.449725046,0.705848694,0.916070615,0.509848866,0.786907918,0.987579467
0.0,0.450634651,0.707558046,0.918297774,0.510532443,0.788307049,0.989515224
0.1,0.451547317,0.709270572,0.92052891,0.511219466,0.789707149,0.991452152
0.2,0.452463053,0.71098623,0.922763975,0.51190995,0.791108175,0.993390197
0.3,0.453381867,0.712704981,0.925002916,0.512603908,0.792510087,0.995329303
0.4,0.454303765,0.714426782,0.927245683,0.513301355,0.793912841,0.997269415
0.5,0.455228757,0.716151591,0.929492224,0.514002305,0.795316394,0.999210474
0.6,0.456156849,0.717879364,0.931742485,0.51470677,0.796720703,1.001152424
0.7,0.457088048,0.719610056,0.93399641,0.515414763,0.798125724,1.003095205
0.8,0.45802236,0.721343622,0.936253946,0.516126297,0.799531412,1.00503876
0.9,0.458959793,0.723080017,0.938515036,0.516841384,0.800937722,1.006983029
1.0,0.459900352,0.724819194,0.940779622,0.517560036,0.802344609,1.00892795
1.1,0.460844043,0.726561105,0.943047646,0.518282264,0.803752025,1.010873462
1.2,0.461790872,0.7283057,0.945319048,0.519008079,0.805159925,1.012819504
1.3,0.462740842,0.730052932,0.947593769,0.519737491,0.806568262,1.014766013
1.4,0.463693961,0.73180275,0.949871745,0.520470512,0.807976986,1.016712926
1.5,0.464650231,0.733555102,0.952152916,0.521207149,0.809386051,1.018660177
1.6,0.465609656,0.735309938,0.954437218,0.521947413,0.810795407,1.020607703
1.7,0.466572242,0.737067202,0.956724585,0.522691313,0.812205005,1.022555438
1.8,0.46753799,0.738826843,0.959014952,0.523438857,0.813614796,1.024503314
1.9,0.468506904,0.740588805,0.961308253,0.524190053,0.815024728,1.026451266
2.0,0.469478987,0.742353033,0.963604419,0.524944908,0.81643475,1.028399224
2.1,0.470454241,0.744119469,0.965903382,0.52570343,0.817844812,1.030347121
2.2,0.471432668,0.745888058,0.968205071,0.526465626,0.81925486,1.032294887
2.3,0.472414269,0.74765874,0.970509415,0.5272315,0.820664843,1.034242451
2.4,0.473399045,0.749431455,0.972816343,0.52800106,0.822074707,1.036189742
2.5,0.474386997,0.751206145,0.97512578,0.528774311,0.823484399,1.038136689
2.6,0.475378125,0.752982747,0.977437652,0.529551256,0.824893864,1.04008322
2.7,0.47637243,0.754761199,0.979751883,0.5303319,0.826303048,1.04202926
2.8,0.47736991,0.756541439,0.982068397,0.531116248,0.827711894,1.043974736
2.9,0.478370564,0.758323402,0.984387116,0.531904301,0.829120348,1.045919572
3.0,0.479374391,0.760107022,0.98670796,0.532696063,0.830528352,1.047863694
3.1,0.480381388,0.761892235,0.989030849,0.533491536,0.83193585,1.049807024
3.2,0.481391554,0.763678973,0.991355701,0.534290721,0.833342783,1.051749486
3.3,0.482404886,0.765467167,0.993682434,0.53509362,0.834749095,1.053691
3.4,0.483421379,0.767256749,0.996010964,0.535900232,0.836154725,1.05563149
3.5,0.484441031,0.769047649,0.998341206,0.536710557,0.837559615,1.057570874
3.6,0.485463836,0.770839795,1.000673074,0.537524596,0.838963706,1.059509073
3.7,0.486489789,0.772633116,1.003006479,0.538342345,0.840366935,1.061446004
3.8,0.487518886,0.774427538,1.005341334,0.539163805,0.841769244,1.063381587
3.9,0.488551119,0.776222987,1.007677548,0.539988971,0.843170569,1.065315739
4.0,0.489586484,0.778019388,1.01001503,0.540817841,0.844570849,1.067248375
4.1,0.490624971,0.779816665,1.012353688,0.54165041,0.845970021,1.069179412
4.2,0.491666575,0.78161474,1.014693428,0.542486675,0.847368022,1.071108764
